feature,n_PH,n_nonPH,PH_mean,nonPH_mean,cohen_d,boot_d_ci_lo,boot_d_ci_hi,mwu_u,p_raw,p_holm,holm_sig,p_fdr,fdr_sig,abs_d
artery_persH0_total,163,27,8234.049426108404,9413.007497107954,-0.7142096546988205,-1.2069437613370113,-0.28614903904416766,1302.0,0.0006914991381785792,0.10994836297039409,False,0.008318749985038934,True,0.7142096546988205
vein_len_p25,163,27,5.815198774718068,8.068689902623495,-0.7118124030647498,-1.2476279659238083,-0.035437451412309084,1784.0,0.11600124781108867,1.0,False,0.23473193674714415,False,0.7118124030647498
apical_n_voxels,163,27,2873316.699386503,4217020.037037037,-0.7067925501216373,-1.3098819334787557,-0.1505694001722361,1538.0,0.012374412673049963,1.0,False,0.04949765069219985,True,0.7067925501216373
vein_len_p10,163,27,3.144025049692283,4.797398555720294,-0.700573287777115,-1.1680637113718844,-0.07490757977768343,1889.0,0.23996482399420238,1.0,False,0.40835302755970426,False,0.700573287777115
paren_mean_HU,157,27,-807.0110007122064,-844.73681640625,0.6781157152398559,0.23897088838315556,1.1013636517557595,2959.0,0.0010308345445070232,0.1587485198540816,False,0.009331765350274105,True,0.6781157152398559
lung_vol_mL,163,27,3342.934520048252,4352.523604388782,-0.6576967359084077,-1.1287065260032976,-0.24809005623182617,1436.0,0.0038938779307448805,0.5646122999580077,False,0.02391953586028998,True,0.6576967359084077
vein_persH0_max,163,27,48.483233596270075,59.22912091178768,-0.6575138429322206,-1.091591010063453,-0.22386246024761045,1501.5,0.008310142982963165,1.0,False,0.03970401647415735,True,0.6575138429322206
paren_LAA_856_frac,157,27,0.3729662467259955,0.515914837493336,-0.6383991459457546,-1.0878705289988257,-0.15559598365373584,1411.0,0.0056136976653884925,0.797145068485166,False,0.030173624951463147,True,0.6383991459457546
vein_persH1_n_loops,163,27,151.3926380368098,171.74074074074073,-0.6285868066372041,-0.8706192207451199,-0.4205993320100079,1048.0,1.337217748311066e-05,0.0022197814621963694,True,0.00032857350387071905,True,0.6285868066372041
airway_total_len_mm_legR17,157,27,4374.274868521721,6058.012197989005,-0.6281559743381221,-1.1591857695942813,-0.015505728145989129,1656.0,0.07011787990161278,1.0,False,0.16177921441342413,False,0.6281559743381221
artery_persH1_total,163,27,851.7806954484713,987.6785378271546,-0.6200356045663293,-1.057326932951686,-0.23808312840035808,1286.0,0.0005536072219047099,0.08913076272665829,False,0.007935036847300842,True,0.6200356045663293
whole_std_HU,163,27,100.72407934270754,86.736737286603,0.6183443224564876,0.47387727466188106,1.1590880317424936,3648.0,4.571408662971837e-08,7.817108813681842e-06,True,3.9314114501557795e-06,True,0.6183443224564876
paren_HU_p50,157,27,-822.203821656051,-859.9629629629629,0.6177346022133695,0.19678106071735263,1.0197686068261014,2899.0,0.0023081636472676395,0.3439163834428783,False,0.01654183947208475,True,0.6177346022133695
whole_HU_p95,163,27,-594.0061349693251,-649.9629629629629,0.6079780981114736,0.39119926829646895,1.2955386449237034,3396.0,6.320400785307758e-06,0.0010555069311463956,True,0.00018118482251215572,True,0.6079780981114736
airway_n_nodes_legR17,163,27,188.7116564417178,270.81481481481484,-0.6072036810199777,-1.097439254675524,-0.07339355605254101,1613.5,0.026682231920850827,1.0,False,0.08793043217927488,False,0.6072036810199777
airway_n_edges_legR17,163,27,375.4233128834356,539.6296296296297,-0.6072036810199777,-1.097439254675524,-0.07339355605254101,1613.5,0.026682231920850827,1.0,False,0.08793043217927488,False,0.6072036810199777
airway_n_branches_legR17,163,27,93.25153374233129,134.1851851851852,-0.6062370267704601,-1.0968254542769682,-0.07240607244769144,1614.5,0.02693794538597087,1.0,False,0.08793043217927488,False,0.6062370267704601
airway_tort_p10_legR17,157,27,1.0689990797619913,1.0622587022957979,0.6013935560173176,0.2298199710198041,1.041607597132667,2736.0,0.01596788004046061,1.0,False,0.059705986238244024,False,0.6013935560173176
airway_tort_p25_legR17,157,27,1.110991308453736,1.1035262379381392,0.5858622242393867,0.11784080114243752,1.0924619878476678,2685.0,0.027094842473846324,1.0,False,0.08793043217927488,False,0.5858622242393867
apical_LAA_910_frac,157,27,0.16129388575786738,0.278391311812691,-0.5796185503061868,-1.1091712560966474,-0.031887627844911615,1583.0,0.036019479799501763,1.0,False,0.09833889723038577,False,0.5796185503061868
airway_len_skew_legR17,157,27,2.6426414820798643,3.044297213907595,-0.5772350137156571,-0.9841481339106443,-0.1954633497899372,1475.0,0.011762905278180668,1.0,False,0.04934682214261158,True,0.5772350137156571
airway_len_kurt_legR17,157,27,13.555881433426196,17.739915388601798,-0.5635344765083043,-1.0078742679659205,-0.14643666374689807,1411.0,0.0056136976653884925,0.797145068485166,False,0.030173624951463147,True,0.5635344765083043
whole_LAA_856_frac,163,27,0.36615732611368984,0.48925286279588936,-0.559992703771885,-0.9803762205401012,-0.15395167211456903,1523.0,0.010530037406488094,1.0,False,0.04625811375005407,True,0.559992703771885
airway_len_p90_legR17,157,27,43.21808907332694,40.08050958138925,0.5359513578161704,0.21800519045768318,0.8779603545634767,2772.0,0.010757700872105598,1.0,False,0.04625811375005407,True,0.5359513578161704
artery_persH0_max,163,27,55.08779745334481,61.7804469829629,-0.5268432340727407,-0.9004528671390329,-0.11914813073386063,1500.5,0.00821907212105964,1.0,False,0.03970401647415735,True,0.5268432340727407
vein_vol_mL,163,27,195.12670496772745,2139.2659918019854,-0.5206288421821087,-0.9377162582614282,0.09653099403956063,1973.0,0.3910632113488258,1.0,False,0.5748963448888722,False,0.5206288421821087
airway_vol_mL,163,27,59.97260691976564,2005.618899728807,-0.5197612583262545,-0.934934471538084,-0.061610243741377094,1708.0,0.06303283170475721,1.0,False,0.15057843129469778,False,0.5197612583262545
whole_HU_p75,163,27,-745.0184049079754,-800.3333333333334,0.5193707387367205,0.29253709044924225,1.0263732969865258,3199.0,0.00016266993602119645,0.026677869507476217,True,0.0031088032217384213,True,0.5193707387367205
airway_total_vol_proxy_mm3_legR17,157,27,52956.71240545382,1808404.8569878472,-0.5114473374363581,-1.0833367390603088,-0.10642473127801945,1575.0,0.03333695089111281,1.0,False,0.09802705749952538,False,0.5114473374363581
airway_diam_sd_legR17,157,27,1.8315370978823133,2.7915542169853493,-0.5064207740958638,-1.0575636074570682,0.2914716694241969,1995.0,0.6276343607818762,1.0,False,0.7496743753783521,False,0.5064207740958638
middle_LAA_910_frac,157,27,0.15376349033490133,0.23541599531401924,-0.5063524951113995,-0.9963190887427394,0.016773959513474268,1642.0,0.06205351498555142,1.0,False,0.15032682503542036,False,0.5063524951113995
airway_diam_p90_legR17,157,27,4.461307310298749,5.970935046231307,-0.49499251369724445,-1.048663757023725,0.234818830792218,1924.0,0.44558497113739604,1.0,False,0.6342164126713187,False,0.49499251369724445
apical_basal_LAA950_gradient,157,27,-0.025090192276108696,0.04120871302883353,-0.4944010076307419,-0.9289115717455159,-0.06027331978374625,1408.0,0.005414721743383314,0.7743052093038139,False,0.030173624951463147,True,0.4944010076307419
apical_LAA_950_frac,157,27,0.06992308027363656,0.13831687192325803,-0.48144372135354446,-1.0671500566742895,0.1261881141302565,1734.0,0.13205933280841217,1.0,False,0.25521578924771793,False,0.48144372135354446
artery_len_p75,163,27,16.412639730547102,18.69903980361091,-0.4792708726650867,-0.8453070114913805,-0.10320044669423557,1341.0,0.0011721439355621508,0.17933802214100908,False,0.010080437845834497,True,0.4792708726650867
vessel_airway_vol_mL,163,27,606.6069457746738,2402.3412584977546,-0.47892132299608636,-0.9161512705525792,0.33309790306913156,2572.0,0.16098837140585276,1.0,False,0.2945744668277306,False,0.47892132299608636
artery_len_p50,163,27,9.39597810850553,10.735365320135045,-0.47319216445278584,-0.8686927628167993,-0.12912300564973045,1326.0,0.0009591322267160963,0.14866549514099492,False,0.009165041277509365,True,0.47319216445278584
airway_diam_p75_legR17,157,27,2.8940975631877874,3.6854570817064354,-0.4711771502538982,-1.0241777623474595,0.31453865988144514,2024.5,0.7116089748590098,1.0,False,0.8052417347088795,False,0.4711771502538982
basal_mean_HU,157,27,-806.052480515401,-836.6579522026909,0.45702899957655235,0.045001771562426324,0.8307080417553178,2656.0,0.036019479799501763,1.0,False,0.09833889723038577,False,0.45702899957655235
airway_diam_mean_legR17,157,27,2.7234185212736675,3.377145943818269,-0.45142118575614215,-1.0283881794000347,0.4226507596680996,2186.0,0.796270566411696,1.0,False,0.8506741454833027,False,0.45142118575614215
airway_tort_p50_legR17,157,27,1.169416522144512,1.1615189578798082,0.44593379866280514,-0.17306836229961542,1.0883144808166474,2796.0,0.008184647455783803,1.0,False,0.03970401647415735,True,0.44593379866280514
paren_LAA_910_frac,157,27,0.1708276251065074,0.24571269778317084,-0.4436584868043308,-0.933655254944344,0.062368964990291875,1715.0,0.11402579006276506,1.0,False,0.23348137965232846,False,0.4436584868043308
vein_tort_p25,163,27,1.0643842121574776,1.077576697976501,-0.4419359951979059,-0.9496591845635739,0.011590942391533871,1827.0,0.15874299241204415,1.0,False,0.2935891902674365,False,0.4419359951979059
airway_tort_skew_legR17,157,27,1.3889821272604406,0.858503970834944,0.43298334300499963,0.29387435033031556,0.5938410768125484,2637.0,0.04313670972312994,1.0,False,0.11267376494292933,False,0.43298334300499963
artery_tort_p50,163,27,1.1281813862133612,1.1406196068834376,-0.4326554455680949,-0.8956847811056136,-0.0030295708982831905,1638.0,0.033719218339474506,1.0,False,0.09802705749952538,False,0.4326554455680949
vein_persH1_max,163,27,33.368709716361145,39.88541178018043,-0.4323037383677559,-0.8689654855752948,-0.0348223498707156,1665.0,0.04323528189670544,1.0,False,0.11267376494292933,False,0.4323037383677559
vein_tort_mean,163,27,1.1747480440724847,1.1891156876528706,-0.42071612818228454,-0.9019245325635409,0.007602972461838966,1639.0,0.03403682434361179,1.0,False,0.09802705749952538,False,0.42071612818228454
paren_HU_p25,157,27,-873.2929936305733,-896.7777777777778,0.42032992173411293,0.03178496286815929,0.7913720311886572,2637.0,0.04312414248392856,1.0,False,0.11267376494292933,False,0.42032992173411293
middle_LAA_950_frac,157,27,0.05572875780675586,0.09814205649902613,-0.4157289435648342,-0.9709539473865122,0.2206513428282104,1944.0,0.49362203310339536,1.0,False,0.6581627108045272,False,0.4157289435648342
whole_mean_HU,163,27,-796.917524747322,-833.9778012876158,0.41505073211598065,0.19750391935923647,0.8585979538956187,3032.0,0.0016907450298599515,0.2553024995088527,False,0.01321855205163235,True,0.41505073211598065
vein_tort_p10,163,27,1.0216865460565483,1.0336447887950473,-0.4111435268543418,-0.9419411076114268,0.10128655848224577,1826.0,0.13173679065477334,1.0,False,0.25521578924771793,False,0.4111435268543418
artery_persH1_n_loops,163,27,168.96932515337423,176.8148148148148,-0.40764225912030605,-0.6919410257721164,-0.17217528849587138,1544.5,0.01322754686494501,1.0,False,0.05095464707159765,False,0.40764225912030605
artery_len_mean,163,27,12.893261034795843,14.21862503334328,-0.40688945302530594,-0.77065397914777,-0.05486541601511474,1408.0,0.0027676964900012232,0.4040836875401786,False,0.017631251714081867,True,0.40688945302530594
airway_diam_p50_legR17,157,27,2.077865165130348,2.4262356184147023,-0.40527657809368317,-0.9963273648044144,0.48399192706589256,2259.0,0.5861999106432454,1.0,False,0.7245049245867345,False,0.40527657809368317
airway_len_p75_legR17,157,27,30.26718403883041,28.703882623601842,0.40098887826229307,0.08787784270760286,0.7379583785536306,2627.0,0.04733770305480566,1.0,False,0.12152365560338169,False,0.40098887826229307
artery_len_skew,163,27,2.791669178776946,1.9957130043594926,0.39899162828606954,0.20565006170106365,0.560616076565771,2701.0,0.05887067361031625,1.0,False,0.14465365515677706,False,0.39899162828606954
vein_tort_p50,163,27,1.134201107580969,1.1457490766489948,-0.3949256269561012,-0.8055289179859435,0.0018875235060538168,1753.5,0.09159974755399655,1.0,False,0.20181663041818793,False,0.3949256269561012
airway_tort_kurt_legR17,157,27,6.357112892114433,1.0793706487726282,0.38679667379893423,0.31016195986352096,0.4953220459403024,2676.0,0.029634402153621935,1.0,False,0.09267485764405405,False,0.38679667379893423
vein_tort_p75,163,27,1.226584802010308,1.2405555270336293,-0.37947498387519024,-0.8489242344725528,0.0910550301378963,1813.0,0.1436841605967614,1.0,False,0.2686269089417713,False,0.37947498387519024
whole_HU_p50,163,27,-813.5644171779142,-852.074074074074,0.3765696708559307,0.16954462433556575,0.7780997813306275,2959.0,0.0041815139306696026,0.6021380060164228,False,0.024800703312936954,True,0.3765696708559307
artery_tort_p10,163,27,1.017042825119627,1.0257177269017257,-0.369992987882687,-0.8211848703464258,0.00150251046738647,1666.5,0.03154720501458043,1.0,False,0.09689498683049703,False,0.369992987882687
artery_tort_p75,163,27,1.2254264692953027,1.2381319734785292,-0.36990713307447065,-1.0089496292506883,0.3113968976203956,2287.0,0.74523014619408,1.0,False,0.8258461665801307,False,0.36990713307447065
vein_branch_per_node,163,27,0.3747613118287014,0.34836520101648605,0.3687331223085557,-0.151643129455191,0.910710399299891,2352.0,0.5683168058791105,1.0,False,0.7135072307387372,False,0.3687331223085557
vein_mean_degree,163,27,3.5082469171539232,3.4036700272339995,0.36066093448726716,-0.1588900309561748,0.9006887496692141,2340.5,0.5981377865774203,1.0,False,0.7245049245867345,False,0.36066093448726716
vein_len_sd,163,27,14.271585508358259,15.822236626236528,-0.35874244072275074,-0.8176757295945587,0.00014598508478053888,1500.0,0.008173412582354076,1.0,False,0.03970401647415735,True,0.35874244072275074
artery_len_p90,163,27,26.541105606219517,28.99338794990822,-0.35072606488969515,-0.704738754833493,-0.019546628456708008,1536.0,0.012114147070969429,1.0,False,0.04949765069219985,True,0.35072606488969515
vein_tortuosity_proxy,163,27,1.7685968013491322,1.721442431310275,0.34385768239612513,-0.1641607834737653,0.8829918244710824,2329.5,0.6273104246581478,1.0,False,0.7496743753783521,False,0.34385768239612513
paren_LAA_950_frac,157,27,0.06980422339611879,0.10869841400303978,-0.3435916837250176,-0.9009530355330756,0.25387229956750007,1971.0,0.5626285712798672,1.0,False,0.7115596636774791,False,0.3435916837250176
airway_len_mean_legR17,157,27,23.437341465312205,22.524914423624676,0.34161777728627396,0.05807647757752382,0.6727613681517429,2516.0,0.12136730009640347,1.0,False,0.23994454731702752,False,0.34161777728627396
artery_tort_mean,163,27,1.168935782338944,1.1787621665883947,-0.3333212484732419,-0.937065836942652,0.2927168076440865,2152.0,0.8560856738775604,1.0,False,0.897737643337087,False,0.3333212484732419
airway_tort_mean_legR17,157,27,1.186068160518719,1.1792441694824785,0.32789915931421004,-0.2694773662904227,1.011028192326781,2891.0,0.0025615618963120436,0.37911116065418243,False,0.017207709760797583,True,0.32789915931421004
artery_len_kurt,163,27,17.030339718596334,6.115088401017366,0.32360927778951565,0.21096160143192158,0.4420948825823189,2646.0,0.09269484769207469,1.0,False,0.20181663041818793,False,0.32360927778951565
airway_len_p50_legR17,157,27,19.299720761122977,18.573079179834437,0.3207350415214883,0.04217822462910826,0.6436748049359529,2461.0,0.1822324466570966,1.0,False,0.3265980510552426,False,0.3207350415214883
airway_diam_p25_legR17,157,27,1.8021019995212555,1.9626061585214403,-0.32040151281477514,-0.9108408859006762,0.614447158667445,2306.5,0.4652211520170577,1.0,False,0.6453067592494672,False,0.32040151281477514
airway_max_degree_legR17,163,27,6.220858895705521,6.666666666666667,-0.31521312603997514,-0.6242664204905016,-0.03074633231259401,1899.0,0.14043313879420613,1.0,False,0.26838333191781616,False,0.31521312603997514
vessel_airway_over_lung,163,27,0.30317146632204034,0.8598946945367939,-0.31431117847829954,-0.8801701720986705,0.5498030395469363,3153.0,0.000321893992786681,0.052468720824229,False,0.005536576675930913,True,0.31431117847829954
vein_tort_p90,163,27,1.3527450399164775,1.3762121518452963,-0.30264346281522064,-0.772503413759016,0.10653934522571287,1934.0,0.3148814392601639,1.0,False,0.4879243923671008,False,0.30264346281522064
airway_lap_eig0_legR17,163,27,-0.0022838101066249643,-0.0005635550554126072,-0.3017360338954197,-0.4608780085285911,-0.047439369018284376,1682.0,0.05030513104839912,1.0,False,0.1272423902988919,False,0.3017360338954197
airway_mean_HU,157,27,-857.0585519401891,-878.6250519929109,0.29970780687995224,0.06025732505073696,0.9252035542049332,2992.0,0.0006471052038349052,0.10353683261358482,False,0.008318749985038934,True,0.29970780687995224
artery_len_p25,163,27,5.329594962070325,5.897202924445823,-0.29813491809669346,-0.6851049201916586,0.03375504065565226,1545.0,0.01333115766408078,1.0,False,0.05095464707159765,False,0.29813491809669346
artery_diam_p75,163,27,6.1176214770305375,6.547871240863094,-0.2928832986581115,-0.6428748120011768,0.05816017840320641,1774.5,0.1079065785356861,1.0,False,0.22361363262816875,False,0.2928832986581115
artery_diam_kurt,163,27,4.801110998984495,2.9954765372806125,0.28356215986486766,0.042220483026710214,0.4984416860636672,2552.0,0.18477715228038438,1.0,False,0.3276460844559393,False,0.28356215986486766
whole_HU_p25,163,27,-866.9141104294479,-891.0,0.2782660939643422,0.04709798612300088,0.5863644328896582,2687.0,0.06630415255186808,1.0,False,0.15622348272494946,False,0.2782660939643422
artery_vol_mL,163,27,352.9951056114046,202.9295910468001,0.2765961782040742,0.21720200936893116,0.4128950686655899,3146.0,0.0003562889774815294,0.057718814352007757,False,0.005571064011529368,True,0.2765961782040742
whole_LAA_910_frac,163,27,0.16812797101601462,0.2115987040357085,-0.27460165633611594,-0.700482526514758,0.12290194773542507,1851.0,0.18729209784254464,1.0,False,0.32871674315222116,False,0.27460165633611594
artery_n_nodes,163,27,254.16564417177915,196.7037037037037,0.2571867802998366,-0.1541009400442767,0.5809206149469065,2641.5,0.09603372291947421,1.0,False,0.2055261822347296,False,0.2571867802998366
artery_diam_p90,163,27,8.95652541763212,9.598139227761166,-0.2530757629939918,-0.6510772896347012,0.13920761093797737,1873.0,0.21664102909450955,1.0,False,0.37262257004255644,False,0.2530757629939918
artery_n_edges,163,27,481.28834355828224,369.6296296296296,0.2529111296793373,-0.15814587877705874,0.5716802988340934,2640.5,0.09678849279658779,1.0,False,0.2055261822347296,False,0.2529111296793373
artery_diam_skew,163,27,1.7955654949132651,1.592216138486509,0.25011389227139447,-0.023000169674599606,0.4986075151834794,2497.0,0.2634041012222388,1.0,False,0.4356298597137026,False,0.25011389227139447
artery_n_branches,163,27,112.8957055214724,85.92592592592592,0.24829367434813945,-0.16340403662168215,0.5682464545576726,2637.5,0.09907825813622002,1.0,False,0.20782268779792493,False,0.24829367434813945
airway_len_sd_legR17,157,27,17.51046576165849,16.794005393981934,0.24024598706005873,-0.16881142043793002,0.6106668084775428,2495.0,0.14239975957391365,1.0,False,0.2686269089417713,False,0.24024598706005873
artery_diam_sd,163,27,3.0419795802034484,3.2504177446718567,-0.23481221692981152,-0.6411608704936147,0.12640335041666445,1910.0,0.273205011739866,1.0,False,0.44331379263449955,False,0.23481221692981152
airway_diam_p10_legR17,157,27,1.528587728548961,1.5961429790214257,-0.22994350869435803,-0.8063158935837542,0.48592549550947384,2200.5,0.7525933108193432,1.0,False,0.8258461665801307,False,0.22994350869435803
airway_branch_per_node_legR17,163,27,0.4743507759120539,0.49387065157491555,-0.2257702687261621,-0.30561179967999164,-0.14889128968712986,1723.0,0.07148383892686183,1.0,False,0.16177921441342413,False,0.2257702687261621
airway_tort_p75_legR17,157,27,1.2431641207758788,1.236328575346205,0.22081430037429423,-0.3601901379959962,0.8398557212740297,2774.0,0.01051865032036775,1.0,False,0.04625811375005407,True,0.22081430037429423
artery_total_len_mm,163,27,2617.3412213003708,2240.4814407913773,0.22018615873188888,-0.1309656447069085,0.5207215511094411,2401.0,0.4498511764296562,1.0,False,0.6342164126713187,False,0.22018615873188888
vein_len_skew,163,27,2.371622340993647,2.0617847861204712,0.2199394078738365,-0.12387111888589421,0.527028304764043,2543.0,0.19629342928869087,1.0,False,0.34103504886520025,False,0.2199394078738365
airway_mean_degree_legR17,163,27,3.8262329608537056,3.9786750279432033,-0.21880414495663297,-0.2982184472777729,-0.13793828647901285,1613.5,0.026682231920850827,1.0,False,0.08793043217927488,False,0.21880414495663297
vein_persH0_n_pairs,163,27,479.92638036809814,499.0,-0.21735632753306017,-0.3003324134979517,-0.13189321676902788,2092.5,0.24303108732420153,1.0,False,0.40835302755970426,False,0.21735632753306017
artery_len_p10,163,27,2.862731320214418,3.183150932523939,-0.21149246929558607,-0.6486597141921796,0.09223572149280718,1585.0,0.02014322493445378,1.0,False,0.07371563167502235,False,0.21149246929558607
vein_diam_p50,163,27,4.081003241743778,3.9168997119974205,0.20537969308846993,-0.23235106719426502,0.6535042161740522,2456.0,0.33530827531494767,1.0,False,0.5067987838972506,False,0.20537969308846993
artery_tort_p25,163,27,1.0598891576740639,1.0655278817371086,-0.2042920821372835,-0.5950040592279502,0.20335943189405994,1639.5,0.03419548517425304,1.0,False,0.09802705749952538,False,0.2042920821372835
artery_max_degree,163,27,7.2392638036809815,7.037037037037037,0.20188788231239602,-0.21125523735825086,0.6017381887088661,2416.5,0.33915819488183563,1.0,False,0.5072626914754411,False,0.20188788231239602
artery_diam_mean,163,27,5.0396087315916285,5.231517041171038,-0.1915826475316127,-0.5359734553298807,0.16925665554250746,1919.0,0.2883688378969199,1.0,False,0.4592540751691687,False,0.1915826475316127
artery_total_vol_proxy_mm3,163,27,71819.63796491564,65336.75734230324,0.1737648812925477,-0.19372222755022933,0.5335171752812586,2358.0,0.5530502692598871,1.0,False,0.704627009723708,False,0.1737648812925477
vein_len_kurt,163,27,9.855649137789486,6.9754465156131324,0.1725604891402806,-0.15739385210147827,0.392910036261381,2509.0,0.24453698743400898,1.0,False,0.40835302755970426,False,0.1725604891402806
vein_diam_p75,163,27,6.101080751492202,5.828492584051909,0.15928170131568084,-0.22971296696722557,0.5557429947458716,2474.5,0.3014308620720667,1.0,False,0.4756523695082154,False,0.15928170131568084
paren_HU_p5,157,27,-932.9426751592357,-940.2962962962963,0.1534784733913148,-0.26305468714937297,0.4723860299558966,2291.0,0.5035222594239726,1.0,False,0.661113195579567,False,0.1534784733913148
airway_tort_sd_legR17,157,27,0.10924808676265603,0.10520846589847845,0.15187846315839115,-0.35846148890036217,0.7251264756994978,2678.0,0.02905302111187863,1.0,False,0.09253925243042822,False,0.15187846315839115
