feature,n,borderline_mean,borderline_std,borderline_median
artery_len_kurt,12,6.081534385681152,7.509750268144241,3.1071243286132812
artery_len_mean,12,13.725454966227213,2.7080433227404175,13.798980236053469
artery_len_p10,12,2.837680407365163,0.7865415210628638,2.993333268165589
artery_len_p25,12,5.5887879232565565,1.5212757117439148,5.665124177932739
artery_len_p50,12,10.307853817939758,2.2399254968066242,10.589323043823242
artery_len_p75,12,17.92100926240285,3.96125501957618,18.52291440963745
artery_len_p90,12,28.18629282315572,5.345789331040394,28.753905296325684
artery_len_sd,12,11.874383290608725,1.982753907838397,12.104954719543457
artery_len_skew,12,1.9449461102485657,0.8775821234500464,1.6583604216575623
artery_max_degree,12,7.0,1.0,7.0
artery_mean_HU,12,3.4112164999047905,81.08581246718968,-0.22092388570308688
artery_mean_degree,12,3.6952017593809963,0.17838484594703358,3.7029005150447274
artery_n_branches,12,103.83333333333333,139.72403356457886,58.5
artery_n_edges,12,440.0,566.7098022797911,264.0
artery_n_nodes,12,231.08333333333334,285.6208029110547,148.5
artery_p95_HU,12,341.6666666666667,135.66707616645814,324.5
artery_persH0_max,12,63.801821726192685,9.916024627799553,60.92436701471218
artery_persH0_n_pairs,12,499.0,0.0,499.0
artery_persH0_total,12,9381.45481603416,2230.371008312488,9573.413963149327
artery_persH1_max,12,29.782037150389115,11.357800475001852,26.138620323240378
artery_persH1_n_loops,12,171.91666666666666,11.339152917607596,173.0
artery_persH1_total,12,992.6108084520725,250.66870587212318,1052.7060577526686
artery_tort_kurt,12,9.363095045089722,6.613270164722099,7.205015659332275
artery_tort_mean,12,1.1776144603888195,0.04826893774984162,1.1634179353713987
artery_tort_p10,12,1.0243999779224395,0.015762717289946132,1.0257938385009764
artery_tort_p25,12,1.0607086221377056,0.02277969834523232,1.0643877983093262
artery_tort_p50,12,1.1357932388782501,0.040050696259797604,1.130961298942566
artery_tort_p75,12,1.2330190315842628,0.056736546094241606,1.2137333899736404
artery_tort_p90,12,1.363037230571111,0.10355143376738635,1.352350217103958
artery_tort_sd,12,0.17938101540009177,0.07088702585589235,0.14894159883260727
artery_tort_skew,12,2.3684544066588082,0.9338952665092669,2.368882775306702
artery_tortuosity_proxy,12,1.8624954716620794,0.08361355399394226,1.866818244453631
artery_total_len_mm,12,2386.244669596354,1768.18203527798,2138.6251220703125
artery_total_vol_proxy_mm3,12,65006.13370768229,35554.83906975878,66045.21875
artery_vol_mL,12,202.79166034779087,43.70102687269059,192.13962936489548
basal_LAA_910_frac,12,0.32452356703894103,0.30273161085731254,0.2768217326717576
basal_LAA_950_frac,12,0.19486772412100395,0.27559638785329804,0.09980361109768035
basal_mean_HU,12,-837.8139241536459,93.10240751556839,-855.8333435058594
basal_n_voxels,12,4498117.75,3757887.897693644,3851286.5
lung_vol_mL,12,4112.469527927803,1944.230444564434,4034.222414865987
middle_LAA_910_frac,12,0.32491190671695663,0.2935017613993318,0.3163810387109467
middle_LAA_950_frac,12,0.1804265295596951,0.2664938879818468,0.0975608332664249
middle_mean_HU,12,-849.2629089355469,82.71189363213149,-868.9560546875
middle_n_voxels,12,7455255.083333333,6157629.264684685,6316681.5
paren_HU_p25,12,-900.8333333333334,74.34136727885013,-918.5
paren_HU_p5,12,-942.75,60.75377217369579,-963.0
paren_HU_p50,12,-863.75,84.67203887155823,-885.5
paren_HU_p75,12,-815.75,98.93189997838581,-840.0
paren_HU_p95,12,-693.25,117.87007324451218,-690.0
paren_LAA_856_frac,12,0.5361980724268338,0.32940088539803536,0.6691661789842602
paren_LAA_910_frac,12,0.33630523474863744,0.30092063624542104,0.31591167252609365
paren_LAA_950_frac,12,0.19898992998393195,0.2714863863867786,0.10006358944756111
paren_mean_HU,12,-849.2109832763672,84.67924421559775,-867.2890930175781
paren_n_voxels,12,16201790.0,13533742.178925285,13573163.0
paren_std_HU,12,76.75631713867188,23.81584512684543,81.60986328125
vein_branch_per_node,12,0.3132368030021659,0.13152625982054528,0.37671447781264
vein_diam_kurt,12,2.871955911318461,3.135593996975349,2.407233715057373
vein_diam_mean,12,4.943758328755696,1.6444815461217894,4.636809825897217
vein_diam_p10,12,2.2507909655570986,0.4605470049226607,2.1908845782279966
vein_diam_p25,12,2.842615783214569,0.5969420913283146,3.0000007152557373
vein_diam_p50,12,3.8273893296718597,0.8641439831136455,4.002898097038269
vein_diam_p75,12,5.706823507944743,2.066998113820414,5.653706908226013
vein_diam_p90,12,9.323313391208648,4.694688996646649,8.267814660072327
vein_diam_sd,12,3.269249513745308,2.0815180272505414,2.6114401817321777
vein_diam_skew,12,1.583986001710097,0.7203671756930556,1.6941912770271301
vein_len_kurt,12,7.238277753194173,13.496417102300466,2.91670823097229
vein_len_mean,12,21.513012488683064,12.282636247338758,16.549948692321777
vein_len_p10,12,6.394185896714529,7.007035529180687,3.8411207437515262
vein_len_p25,12,10.26189774274826,8.948250369867388,6.060191988945007
vein_len_p50,12,17.908953845500946,13.914073752380084,11.362713813781738
