feature,n,spearman_rho,p_raw,perm_p,p_holm,holm_sig,p_fdr,fdr_sig,abs_rho
airway_tort_sd_legR17,99,0.3216274659798307,0.0011694907677789446,0.002,0.1648981982568312,False,0.0062129197038256435,True,0.3216274659798307
airway_len_kurt_legR17,99,-0.3156306021250211,0.001460785069152842,0.002,0.20304912461224503,False,0.007303925345764209,True,0.3156306021250211
artery_len_p90,102,-0.3122385523734218,0.0013989708509113273,0.0,0.19585591912758582,False,0.007206819534997747,True,0.3122385523734218
vein_mean_HU,99,-0.3059390760191059,0.002072840910250213,0.002,0.2860520456145294,False,0.00987838868483624,True,0.3059390760191059
vein_persH0_max,102,-0.3012573417891118,0.0020918940744359097,0.002,0.2865894881977196,False,0.00987838868483624,True,0.3012573417891118
artery_len_mean,102,-0.2969047271567432,0.0024433041308542535,0.002,0.33228936179617846,False,0.011225991952573598,True,0.2969047271567432
basal_mean_HU,99,0.29630943705307516,0.0029015563831077365,0.0,0.39171011171954445,False,0.012358967950724876,True,0.29630943705307516
airway_mean_degree_legR17,102,-0.2907611847560303,0.0030299301109271235,0.0,0.40601063486423455,False,0.012358967950724876,True,0.2907611847560303
airway_n_nodes_legR17,102,-0.2907611847560303,0.0030299301109271235,0.0,0.40601063486423455,False,0.012358967950724876,True,0.2907611847560303
airway_n_edges_legR17,102,-0.2907611847560303,0.0030299301109271235,0.0,0.40601063486423455,False,0.012358967950724876,True,0.2907611847560303
airway_n_branches_legR17,102,-0.2905384831901659,0.0030533920819437927,0.0,0.40601063486423455,False,0.012358967950724876,True,0.2905384831901659
vein_len_p90,102,-0.28645961964752226,0.003512972500270397,0.0,0.4566864250351516,False,0.013888495931301571,True,0.28645961964752226
airway_tort_p10_legR17,99,0.28275615341836613,0.004571545931835859,0.002,0.58515787927499,False,0.017270284631379914,True,0.28275615341836613
airway_tort_p25_legR17,99,0.28135750405697607,0.004785251136752256,0.002,0.6077268943675366,False,0.017600217558086186,True,0.28135750405697607
airway_total_vol_proxy_mm3_legR17,99,-0.28084384079593455,0.00486594250135324,0.002,0.6131087551705082,False,0.017600217558086186,True,0.28084384079593455
artery_len_p50,102,-0.2806033432271303,0.004281293702190949,0.002,0.5522868875826324,False,0.016541362031192303,True,0.2806033432271303
paren_LAA_856_frac,99,-0.27891296203153765,0.005180210842972688,0.0,0.6475263553715861,False,0.01821924862862814,True,0.27891296203153765
whole_LAA_856_frac,102,-0.27442454723576015,0.00525143048707517,0.002,0.6511773803973211,False,0.01821924862862814,True,0.27442454723576015
airway_tort_p90_legR17,99,0.26922762463961086,0.0070450472127285965,0.004,0.8594957599528887,False,0.023483490709095323,True,0.26922762463961086
airway_lap_eig0_legR17,102,-0.26872652266123775,0.006314591833500433,0.008,0.7766947955205533,False,0.021469612233901474,True,0.26872652266123775
apical_mean_HU,99,0.26835501596723915,0.007239150536505075,0.006,0.8759372149171141,False,0.023666453677035824,True,0.26835501596723915
airway_vol_mL,102,-0.257797900938427,0.00889883423544666,0.008,1.0,False,0.02854343056652702,True,0.257797900938427
airway_len_skew_legR17,99,-0.2577785037609754,0.00999563789262236,0.02,1.0,False,0.03146774892121854,True,0.2577785037609754
