cluster_method,variable,type,test,stat,pvalue,n,n_groups
gmm_k3,年龄,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,身高,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,体重,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,BMI_y,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺容积(ml),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺LAA910(ml),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺LAA950(ml),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺LAA910(%),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺LAA950(%),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺平均密度(HU),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺肺组织体积(ml),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺空气体积(ml),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺密度标准差(HU),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺质量(g),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,右肺容积(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,右肺LAA910(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,右肺LAA950(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,右肺LAA910(%)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,右肺LAA950(%)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,右肺平均密度(HU)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,右肺肺组织体积(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,右肺空气体积(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,右肺密度标准差(HU)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,右肺质量(g)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,左肺容积(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,左肺LAA910(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,左肺LAA950(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,左肺LAA910(%)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,左肺LAA950(%)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,左肺平均密度(HU)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,左肺肺组织体积(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,左肺空气体积(ml)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,左肺密度标准差(HU)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,左肺质量(g)_x,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺支气管数量,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺支气管长度(cm),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺支气管体积(ml),categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,全肺气管分代,categorical,chi2,4.0,0.26146412994911117,4,2
gmm_k3,Pi10(mm),categorical,chi2,4.0,0.26146412994911117,4,2
