feature,rho,p,boot_lo,boot_hi,n,abs_rho,p_holm,holm_significant
artery_n_branches,0.16385749783359668,0.09984062209212982,-0.031035385620247245,0.36220431628602207,102,0.16385749783359668,1.0,False
vein_tort_p50,-0.14508612211009334,0.14568329367563926,-0.33066658967201396,0.06091836732100551,102,0.14508612211009334,1.0,False
artery_diam_skew,0.14453403370289192,0.1472387880630558,-0.050801594268486426,0.32911391286500213,102,0.14453403370289192,1.0,False
vein_diam_p50,0.13906251747243872,0.1633368681498637,-0.0495626423831839,0.32843013853784886,102,0.13906251747243872,1.0,False
vein_diam_skew,-0.1386438078539759,0.16462058657658715,-0.3161769944879035,0.07090299447022368,102,0.1386438078539759,1.0,False
artery_tort_p10,-0.1356707156197895,0.1739516866986123,-0.31666026895300536,0.07309508610644433,102,0.1356707156197895,1.0,False
artery_tort_kurt,-0.13290635443341797,0.18297152024250735,-0.30213795374468533,0.048846774041195036,102,0.13290635443341797,1.0,False
vein_tort_mean,-0.13020171662767172,0.19212232810562907,-0.3138411454790393,0.06784457886755478,102,0.13020171662767172,1.0,False
artery_diam_p50,-0.12979432348538356,0.1935289147981431,-0.3121697939366075,0.08016076322260098,102,0.12979432348538356,1.0,False
artery_tort_p50,-0.12969247519981153,0.19388172234629822,-0.31090697429271485,0.06333968783185509,102,0.12969247519981153,1.0,False
vein_len_p25,-0.1294438786932358,0.19474482545606883,-0.3050359332588652,0.06320314549966699,102,0.1294438786932358,1.0,False
artery_tort_p90,0.1289342712961086,0.19652280457462323,-0.08414406872640687,0.3316210317648828,102,0.1289342712961086,1.0,False
vein_diam_p25,0.1286718907994157,0.19744278227910472,-0.06802037267590003,0.32562339221642517,102,0.1286718907994157,1.0,False
vein_tort_p25,-0.11584110836201482,0.24628219343993538,-0.2954516666309182,0.0866295586311247,102,0.11584110836201482,1.0,False
vein_diam_p75,0.11575623479070479,0.2466308035474951,-0.0761084432158395,0.30290146436804316,102,0.11575623479070479,1.0,False
vein_tort_p10,-0.1141688198362516,0.2532137558412699,-0.3022751544386201,0.06279883089803867,102,0.1141688198362516,1.0,False
vein_diam_kurt,-0.10887581727650511,0.2760296639652607,-0.30534042086666374,0.10203352854698654,102,0.10887581727650511,1.0,False
