feature,n,threshold,slope_low,slope_high,delta_aic_vs_linear,boot_freq_within_2mmHg,ci95_lo,ci95_hi,ci_width,gate_delta_aic_ge_10,gate_boot_freq_ge_0.70,gate_ci_width_le_8,all_gates_pass
vein_len_p75,102,33.800000000000004,-0.2911784846129104,-0.08296701746243912,-1.1904090804945326,0.27,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_len_p75,102,35.00000000000001,-0.15723877080484255,-0.03899839957543608,-1.2297909726854073,0.2,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_diam_p90,102,37.400000000000006,-0.06334158606255373,0.0046232586050730246,-1.2743398659605987,0.064,17.57,45.80000000000001,28.23000000000001,False,False,False,False
vein_diam_p90,102,33.800000000000004,-0.020513859276922786,0.05641678405453052,-1.3510514280793586,0.17,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_diam_mean,102,20.6,0.024415337360890535,-0.018747109454895966,-1.3866181275328495,0.112,18.2,45.80000000000001,27.600000000000012,False,False,False,False
artery_branch_per_node,102,27.800000000000004,-0.001069000129103845,0.000339825041075987,-1.4313678492418376,0.42,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_len_p10,102,17.0,-0.12876727586463954,-0.008029869249904967,-1.4505473774882063,0.37,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_diam_p10,102,19.400000000000002,0.022911968737256008,0.002572310327785172,-1.4782909581344938,0.188,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_tortuosity_proxy,102,17.0,0.006569745653384564,-0.0005539320359769827,-1.5570276074906815,0.228,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_len_sd,102,44.60000000000001,-0.03776399282945647,-0.15981255535113972,-1.5612498492033637,0.23,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_mean_degree,102,27.800000000000004,-0.0037881942206106902,0.0009438991818385002,-1.5993901593308237,0.386,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_diam_p75,102,17.0,-0.07149090640456107,0.024437228656320933,-1.6776224523081567,0.18,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_tort_sd,102,45.80000000000001,-0.00044339263202835947,0.0009450666119464549,-1.6837683283570186,0.21,17.0,45.80000000000001,28.80000000000001,False,False,False,False
artery_diam_sd,102,23.0,-0.004023455454179363,-0.022235658660899237,-1.763971513044261,0.192,17.0,45.80000000000001,28.80000000000001,False,False,False,False
vein_diam_mean,102,30.200000000000003,-0.0006829315688213489,0.01505253794705197,-1.8034108180468138,0.112,17.0,45.80000000000001,28.80000000000001,False,False,False,False
airway_mean_degree,102,17.0,0.0,0.0,-2.0,1.0,17.0,17.0,0.0,False,True,True,False
airway_n_branches,102,17.0,0.0,0.0,-2.0,1.0,17.0,17.0,0.0,False,True,True,False
airway_n_edges,102,17.0,0.0,0.0,-2.0,1.0,17.0,17.0,0.0,False,True,True,False
airway_n_nodes,102,17.0,-1.9239321322993146e-16,1.9838168670831278e-18,-2.0,1.0,17.0,17.0,0.0,False,True,True,False
airway_branch_per_node,102,17.0,0.0,0.0,-2.0,1.0,17.0,17.0,0.0,False,True,True,False
airway_max_degree,102,17.0,0.0,0.0,-2.0,1.0,17.0,17.0,0.0,False,True,True,False
